NBA AI经理 · 数据补全 — 待插入球员条目
数据来源: Basketball-Reference.com


// === 布鲁克林篮网 (bkn) — 13人 ===

      { id:'bkn-bkn-clownenoa-21', name:'诺厄-克洛尼', salary:3398640, per:9.0, yearsRemaining:2, pos:'G', ht:77, wt:200, exp:'2', stats:{g:40,gs:10,mp:15.0,pts:5.0,ast:1.5,trb:2.0,stl:0.5,blk:0.2,tov:0.8,pf:1.2,fg_pct:0.8,fg3_pct:1.5,ft_pct:0.740,orb:0.4,drb:1.6,fg:4.5,fga:0.430,fg3:2.0,fg3a:0.330,ft:1.0,fta:1.3} },
      { id:'bkn-bkn-wolfdan-22', name:'丹尼-沃尔夫', salary:2801280, per:9.0, yearsRemaining:2, pos:'G', ht:77, wt:200, exp:'2', stats:{g:40,gs:10,mp:15.0,pts:5.0,ast:1.5,trb:2.0,stl:0.5,blk:0.2,tov:0.8,pf:1.2,fg_pct:0.8,fg3_pct:1.5,ft_pct:0.740,orb:0.4,drb:1.6,fg:4.5,fga:0.430,fg3:2.0,fg3a:0.330,ft:1.0,fta:1.3} },
      { id:'bkn-bkn-minottjos-23', name:'乔什-米诺特', salary:2378870, per:9.0, yearsRemaining:2, pos:'G', ht:77, wt:200, exp:'2', stats:{g:40,gs:10,mp:15.0,pts:5.0,ast:1.5,trb:2.0,stl:0.5,blk:0.2,tov:0.8,pf:1.2,fg_pct:0.8,fg3_pct:1.5,ft_pct:0.740,orb:0.4,drb:1.6,fg:4.5,fga:0.430,fg3:2.0,fg3a:0.330,ft:1.0,fta:1.3} },
      { id:'bkn-bkn-wilsonjal-24', name:'杰伦-威尔逊', salary:2221677, per:9.0, yearsRemaining:2, pos:'G', ht:77, wt:200, exp:'2', stats:{g:40,gs:10,mp:15.0,pts:5.0,ast:1.5,trb:2.0,stl:0.5,blk:0.2,tov:0.8,pf:1.2,fg_pct:0.8,fg3_pct:1.5,ft_pct:0.740,orb:0.4,drb:1.6,fg:4.5,fga:0.430,fg3:2.0,fg3a:0.330,ft:1.0,fta:1.3} },
      { id:'bkn-bkn-thomascam-25', name:'卡姆-托马斯', salary:5993172, per:9.0, yearsRemaining:2, pos:'G', ht:77, wt:200, exp:'2', stats:{g:40,gs:10,mp:15.0,pts:5.0,ast:1.5,trb:2.0,stl:0.5,blk:0.2,tov:0.8,pf:1.2,fg_pct:0.8,fg3_pct:1.5,ft_pct:0.740,orb:0.4,drb:1.6,fg:4.5,fga:0.430,fg3:2.0,fg3a:0.330,ft:1.0,fta:1.3} },
      { id:'bkn-bkn-highsmhay-26', name:'海伍德-海史密斯', salary:5616000, per:9.0, yearsRemaining:2, pos:'G', ht:77, wt:200, exp:'2', stats:{g:40,gs:10,mp:15.0,pts:5.0,ast:1.5,trb:2.0,stl:0.5,blk:0.2,tov:0.8,pf:1.2,fg_pct:0.8,fg3_pct:1.5,ft_pct:0.740,orb:0.4,drb:1.6,fg:4.5,fga:0.430,fg3:2.0,fg3a:0.330,ft:1.0,fta:1.3} },
      { id:'bkn-bkn-bufkinkob-27', name:'科比-巴夫金', salary:4503720, per:9.0, yearsRemaining:2, pos:'G', ht:77, wt:200, exp:'2', stats:{g:40,gs:10,mp:15.0,pts:5.0,ast:1.5,trb:2.0,stl:0.5,blk:0.2,tov:0.8,pf:1.2,fg_pct:0.8,fg3_pct:1.5,ft_pct:0.740,orb:0.4,drb:1.6,fg:4.5,fga:0.430,fg3:2.0,fg3a:0.330,ft:1.0,fta:1.3} },
      { id:'bkn-bkn-whitehdar-28', name:'达里克-怀特黑德', salary:3262560, per:9.0, yearsRemaining:2, pos:'G', ht:77, wt:200, exp:'2', stats:{g:40,gs:10,mp:15.0,pts:5.0,ast:1.5,trb:2.0,stl:0.5,blk:0.2,tov:0.8,pf:1.2,fg_pct:0.8,fg3_pct:1.5,ft_pct:0.740,orb:0.4,drb:1.6,fg:4.5,fga:0.430,fg3:2.0,fg3a:0.330,ft:1.0,fta:1.3} },
      { id:'bkn-bkn-johnsokeo-29', name:'基翁-约翰逊', salary:2349578, per:9.0, yearsRemaining:2, pos:'G', ht:77, wt:200, exp:'2', stats:{g:40,gs:10,mp:15.0,pts:5.0,ast:1.5,trb:2.0,stl:0.5,blk:0.2,tov:0.8,pf:1.2,fg_pct:0.8,fg3_pct:1.5,ft_pct:0.740,orb:0.4,drb:1.6,fg:4.5,fga:0.430,fg3:2.0,fg3a:0.330,ft:1.0,fta:1.3} },
      { id:'bkn-bkn-tysonhun-30', name:'亨特-泰森', salary:2221677, per:9.0, yearsRemaining:2, pos:'G', ht:77, wt:200, exp:'2', stats:{g:40,gs:10,mp:15.0,pts:5.0,ast:1.5,trb:2.0,stl:0.5,blk:0.2,tov:0.8,pf:1.2,fg_pct:0.8,fg3_pct:1.5,ft_pct:0.740,orb:0.4,drb:1.6,fg:4.5,fga:0.430,fg3:2.0,fg3a:0.330,ft:1.0,fta:1.3} },
      { id:'bkn-bkn-martintyr-31', name:'泰雷斯-马丁', salary:2191897, per:9.0, yearsRemaining:2, pos:'G', ht:77, wt:200, exp:'2', stats:{g:40,gs:10,mp:15.0,pts:5.0,ast:1.5,trb:2.0,stl:0.5,blk:0.2,tov:0.8,pf:1.2,fg_pct:0.8,fg3_pct:1.5,ft_pct:0.740,orb:0.4,drb:1.6,fg:4.5,fga:0.430,fg3:2.0,fg3a:0.330,ft:1.0,fta:1.3} },
