编号,英文名,效力球队(全称),效力球队(缩写),中文译名
76001,Alaa Abdelnaby,Portland Trail Blazers|Milwaukee Bucks|Boston Celtics|Sacramento Kings|Philadelphia 76ers,POR|MIL|BOS|SAC|PHI,
76002,Zaid Abdul-Aziz,Milwaukee Bucks|Sacramento Kings|Oklahoma City Thunder|Houston Rockets|LA Clippers|Boston Celtics,MIL|SAC|OKC|HOU|LAC|BOS,
76003,Kareem Abdul-Jabbar,Milwaukee Bucks|Los Angeles Lakers,MIL|LAL,
51,Mahmoud Abdul-Rauf,Denver Nuggets|Sacramento Kings|Memphis Grizzlies,DEN|SAC|MEM,
1505,Tariq Abdul-Wahad,Sacramento Kings|Orlando Magic|Denver Nuggets|Dallas Mavericks,SAC|ORL|DEN|DAL,
949,Shareef Abdur-Rahim,Memphis Grizzlies|Atlanta Hawks|Portland Trail Blazers|Sacramento Kings,MEM|ATL|POR|SAC,
76005,Tom Abernethy,Los Angeles Lakers|Golden State Warriors|Indiana Pacers,LAL|GSW|IND,
203518,Alex Abrines,Oklahoma City Thunder,OKC,
1630173,Precious Achiuwa,Miami Heat|Toronto Raptors|New York Knicks|Sacramento Kings,MIA|TOR|NYK|SAC,
101165,Alex Acker,Detroit Pistons|LA Clippers,DET|LAC,
76009,Mark Acres,Boston Celtics|Orlando Magic|Houston Rockets|Washington Wizards,BOS|ORL|HOU|WAS,
203112,Quincy Acy,Toronto Raptors|Sacramento Kings|New York Knicks|Dallas Mavericks|Brooklyn Nets|Phoenix Suns,TOR|SAC|NYK|DAL|BKN|PHX,
76011,Alvan Adams,Phoenix Suns,PHX,
76012,Don Adams,Houston Rockets|Atlanta Hawks|Detroit Pistons|LA Clippers,HOU|ATL|DET|LAC,
200801,Hassan Adams,Brooklyn Nets|Toronto Raptors,BKN|TOR,
1629121,Jaylen Adams,Atlanta Hawks|Milwaukee Bucks,ATL|MIL,
203919,Jordan Adams,Memphis Grizzlies,MEM,
149,Michael Adams,Sacramento Kings|Washington Wizards|Denver Nuggets|Charlotte Hornets,SAC|WAS|DEN|CHA,
203500,Steven Adams,Oklahoma City Thunder|New Orleans Pelicans|Memphis Grizzlies|Houston Rockets,OKC|NOP|MEM|HOU,
912,Rafael Addison,Phoenix Suns|Brooklyn Nets|Detroit Pistons|Charlotte Hornets,PHX|BKN|DET|CHA,
1628389,Bam Adebayo,Miami Heat,MIA,
76015,Rick Adelman,Houston Rockets|Portland Trail Blazers|Chicago Bulls|Utah Jazz|Sacramento Kings,HOU|POR|CHI|UTA|SAC,
202399,Jeff Adrien,Golden State Warriors|Houston Rockets|Charlotte Hornets|Milwaukee Bucks|Minnesota Timberwolves,GSW|HOU|CHA|MIL|MIN,
201167,Arron Afflalo,Detroit Pistons|Denver Nuggets|Orlando Magic|Portland Trail Blazers|New York Knicks|Sacramento Kings,DET|DEN|ORL|POR|NYK|SAC,
1630534,Ochai Agbaji,Utah Jazz|Toronto Raptors|Brooklyn Nets,UTA|TOR|BKN,
200772,Maurice Ager,Dallas Mavericks|Brooklyn Nets|Minnesota Timberwolves,DAL|BKN|MIN,
76016,Mark Aguirre,Dallas Mavericks|Detroit Pistons|LA Clippers,DAL|DET|LAC,
201336,Blake Ahearn,Miami Heat|San Antonio Spurs|Utah Jazz,MIA|SAS|UTA,
76017,Danny Ainge,Boston Celtics|Sacramento Kings|Portland Trail Blazers|Phoenix Suns,BOS|SAC|POR|PHX,
201582,Alexis Ajinca,Charlotte Hornets|Dallas Mavericks|Toronto Raptors|New Orleans Pelicans,CHA|DAL|TOR|NOP,
76018,Henry Akin,New York Knicks|Oklahoma City Thunder,NYK|OKC,
202374,Solomon Alabi,Toronto Raptors,TOR,
76019,Mark Alarie,Denver Nuggets|Washington Wizards,DEN|WAS,
76020,Gary Alcorn,Detroit Pistons|Los Angeles Lakers,DET|LAL,
1630583,Santi Aldama,Memphis Grizzlies,MEM,
202332,Cole Aldrich,Oklahoma City Thunder|Houston Rockets|Sacramento Kings|New York Knicks|LA Clippers|Minnesota Timberwolves,OKC|HOU|SAC|NYK|LAC|MIN,
200746,LaMarcus Aldridge,Portland Trail Blazers|San Antonio Spurs|Brooklyn Nets,POR|SAS|BKN,
724,Cory Alexander,San Antonio Spurs|Denver Nuggets|Orlando Magic|Charlotte Hornets,SAS|DEN|ORL|CHA,
2042,Courtney Alexander,Dallas Mavericks|Washington Wizards|New Orleans Pelicans,DAL|WAS|NOP,
76022,Gary Alexander,Miami Heat|Cleveland Cavaliers,MIA|CLE,
201570,Joe Alexander,Milwaukee Bucks|Chicago Bulls,MIL|CHI,
1641725,Trey Alexander,Denver Nuggets|New Orleans Pelicans,DEN|NOP,
2349,Victor Alexander,Golden State Warriors|Detroit Pistons,GSW|DET,
1629638,Nickeil Alexander-Walker,New Orleans Pelicans|Utah Jazz|Minnesota Timberwolves|Atlanta Hawks,NOP|UTA|MIN|ATL,
76024,Steve Alford,Dallas Mavericks|Golden State Warriors,DAL|GSW,
1628960,Grayson Allen,Utah Jazz|Memphis Grizzlies|Milwaukee Bucks|Phoenix Suns,UTA|MEM|MIL|PHX,
1628386,Jarrett Allen,Brooklyn Nets|Cleveland Cavaliers,BKN|CLE,
706,Jerome Allen,Minnesota Timberwolves|Indiana Pacers|Denver Nuggets,MIN|IND|DEN,
1628443,Kadeem Allen,Boston Celtics|New York Knicks,BOS|NYK,
