编号,英文名,效力球队(全称),效力球队(缩写),中文名
编号,英文名,效力球队(全称),效力球队(缩写),中文名
76001,Alaa Abdelnaby,Portland Trail Blazers|Milwaukee Bucks|Boston Celtics|Sacramento Kings|Philadelphia 76ers,POR|MIL|BOS|SAC|PHI,阿拉-阿卜杜勒纳比
76002,Zaid Abdul-Aziz,Milwaukee Bucks|Sacramento Kings|Oklahoma City Thunder|Houston Rockets|LA Clippers|Boston Celtics,MIL|SAC|OKC|HOU|LAC|BOS,扎伊德-阿卜杜尔-阿齐兹
76003,Kareem Abdul-Jabbar,Milwaukee Bucks|Los Angeles Lakers,MIL|LAL,卡里姆-阿卜杜勒-贾巴尔
51,Mahmoud Abdul-Rauf,Denver Nuggets|Sacramento Kings|Memphis Grizzlies,DEN|SAC|MEM,马赫莫乌德-阿卜杜尔-拉乌夫
1505,Tariq Abdul-Wahad,Sacramento Kings|Orlando Magic|Denver Nuggets|Dallas Mavericks,SAC|ORL|DEN|DAL,塔里克-阿卜杜尔-瓦哈德
949,Shareef Abdur-Rahim,Memphis Grizzlies|Atlanta Hawks|Portland Trail Blazers|Sacramento Kings,MEM|ATL|POR|SAC,什阿尔伊夫-阿布杜尔-拉希姆
76005,Tom Abernethy,Los Angeles Lakers|Golden State Warriors|Indiana Pacers,LAL|GSW|IND,汤姆-阿贝尔内斯伊
203518,Alex Abrines,Oklahoma City Thunder,OKC,阿莱士-阿布里内斯
1630173,Precious Achiuwa,Miami Heat|Toronto Raptors|New York Knicks|Sacramento Kings,MIA|TOR|NYK|SAC,普雷西乌斯-阿奇伊乌瓦
101165,Alex Acker,Detroit Pistons|LA Clippers,DET|LAC,阿莱士-阿克
76009,Mark Acres,Boston Celtics|Orlando Magic|Houston Rockets|Washington Wizards,BOS|ORL|HOU|WAS,马克-阿克雷斯
203112,Quincy Acy,Toronto Raptors|Sacramento Kings|New York Knicks|Dallas Mavericks|Brooklyn Nets|Phoenix Suns,TOR|SAC|NYK|DAL|BKN|PHX,昆西-阿克伊
76011,Alvan Adams,Phoenix Suns,PHX,阿尔瓦恩-亚当斯
76012,Don Adams,Houston Rockets|Atlanta Hawks|Detroit Pistons|LA Clippers,HOU|ATL|DET|LAC,唐-亚当斯
200801,Hassan Adams,Brooklyn Nets|Toronto Raptors,BKN|TOR,哈斯萨恩-亚当斯
1629121,Jaylen Adams,Atlanta Hawks|Milwaukee Bucks,ATL|MIL,杰伦-亚当斯
203919,Jordan Adams,Memphis Grizzlies,MEM,乔丹-亚当斯
149,Michael Adams,Sacramento Kings|Washington Wizards|Denver Nuggets|Charlotte Hornets,SAC|WAS|DEN|CHA,迈克尔-亚当斯
203500,Steven Adams,Oklahoma City Thunder|New Orleans Pelicans|Memphis Grizzlies|Houston Rockets,OKC|NOP|MEM|HOU,史蒂文-亚当斯
912,Rafael Addison,Phoenix Suns|Brooklyn Nets|Detroit Pistons|Charlotte Hornets,PHX|BKN|DET|CHA,拉法伊尔-阿德迪森
1628389,Bam Adebayo,Miami Heat,MIA,巴姆-阿德巴约
76015,Rick Adelman,Houston Rockets|Portland Trail Blazers|Chicago Bulls|Utah Jazz|Sacramento Kings,HOU|POR|CHI|UTA|SAC,里克-阿德尔曼
202399,Jeff Adrien,Golden State Warriors|Houston Rockets|Charlotte Hornets|Milwaukee Bucks|Minnesota Timberwolves,GSW|HOU|CHA|MIL|MIN,杰夫-阿德里伊恩
201167,Arron Afflalo,Detroit Pistons|Denver Nuggets|Orlando Magic|Portland Trail Blazers|New York Knicks|Sacramento Kings,DET|DEN|ORL|POR|NYK|SAC,阿隆-阿弗拉罗
1630534,Ochai Agbaji,Utah Jazz|Toronto Raptors|Brooklyn Nets,UTA|TOR|BKN,奥奇艾-阿格布阿吉
200772,Maurice Ager,Dallas Mavericks|Brooklyn Nets|Minnesota Timberwolves,DAL|BKN|MIN,莫里斯-艾奇尔
76016,Mark Aguirre,Dallas Mavericks|Detroit Pistons|LA Clippers,DAL|DET|LAC,马克-阿古伊尔
201336,Blake Ahearn,Miami Heat|San Antonio Spurs|Utah Jazz,MIA|SAS|UTA,布雷克-阿亨
76017,Danny Ainge,Boston Celtics|Sacramento Kings|Portland Trail Blazers|Phoenix Suns,BOS|SAC|POR|PHX,丹尼-安吉
