编号,英文名,中文名
编号,英文名,中文名
76001,Alaa Abdelnaby,阿拉-阿布德尔纳比
76002,Zaid Abdul-Aziz,扎伊德-阿卜杜勒-阿兹伊兹
76003,Kareem Abdul-Jabbar,卡里姆-阿卜杜勒-贾巴尔
51,Mahmoud Abdul-Rauf,马哈茂德-阿卜杜勒-拉乌夫
1505,Tariq Abdul-Wahad,塔里克-阿卜杜勒-瓦哈德
949,Shareef Abdur-Rahim,沙里夫-阿卜杜尔-拉希姆
76005,Tom Abernethy,汤姆-阿伯内西
203518,Alex Abrines,阿莱士-阿布里内斯
1630173,Precious Achiuwa,普雷舍斯-阿丘瓦
101165,Alex Acker,阿莱士-阿克
76009,Mark Acres,马克-埃克斯
203112,Quincy Acy,昆西-埃西
76011,Alvan Adams,阿尔文-亚当斯
76012,Don Adams,唐-亚当斯
200801,Hassan Adams,哈桑-亚当斯
1629121,Jaylen Adams,杰伦-亚当斯
203919,Jordan Adams,乔丹-亚当斯
149,Michael Adams,迈克尔-亚当斯
203500,Steven Adams,斯蒂文-亚当斯
912,Rafael Addison,拉斐尔-阿迪森
1628389,Bam Adebayo,巴姆-阿德巴约
76015,Rick Adelman,里克-阿德埃尔曼
202399,Jeff Adrien,杰夫-阿德尔伊埃恩
201167,Arron Afflalo,阿尔尔奥恩-阿弗弗尔阿尔奥
1630534,Ochai Agbaji,奥柴-阿格布阿杰伊
200772,Maurice Ager,莫里斯-阿格埃尔
76016,Mark Aguirre,马克-阿吉雷
201336,Blake Ahearn,布雷克-阿亨
76017,Danny Ainge,丹尼-安吉
201582,Alexis Ajinca,阿尔埃克斯伊斯-阿金萨
76018,Henry Akin,亨利-阿金
202374,Solomon Alabi,斯奥尔奥蒙-阿拉比
76019,Mark Alarie,马克-阿拉里
76020,Gary Alcorn,加里-阿尔科恩
1630583,Santi Aldama,桑蒂-阿尔达马
202332,Cole Aldrich,科尔-阿尔德尔伊奇
200746,LaMarcus Aldridge,拉马库斯-阿尔德里奇
724,Cory Alexander,科里-亚历山大
2042,Courtney Alexander,考特尼-亚历山大
76022,Gary Alexander,加里-亚历山大
201570,Joe Alexander,乔-亚历山大
1641725,Trey Alexander,特雷-亚历山大
2349,Victor Alexander,维克托-亚历山大
1629638,Nickeil Alexander-Walker,尼基尔-亚历山大-沃克
76024,Steve Alford,史蒂夫-阿尔福德
1628960,Grayson Allen,格尔阿伊森-艾伦
1628386,Jarrett Allen,贾勒特-艾伦
706,Jerome Allen,杰埃尔奥姆埃-艾伦
1628443,Kadeem Allen,克阿德埃埃姆-艾伦
202730,Lavoy Allen,尔阿夫奥伊-艾伦
76027,Lucius Allen,尔乌克伊乌斯-艾伦
2124,Malik Allen,马利克-艾伦
76025,Randy Allen,兰迪-艾伦
951,Ray Allen,雷-艾伦
2754,Tony Allen,托尼-艾伦
201165,Morris Almond,莫里斯-阿尔蒙德
308,Derrick Alston,德里克-阿尔斯通
1747,Rafer Alston,尔阿弗埃尔-阿尔斯通
1630631,Jose Alvarado,何塞-阿尔瓦拉多
680,John Amaechi,约翰-阿马奇
732,Ashraf Amaya,阿什尔阿弗-阿姆阿伊阿
202329,Al-Farouq Aminu,阿尔-弗阿尔奥乌克-阿米奴
200811,Lou Amundson,尔奥乌-阿蒙森
2365,Chris Andersen,克里斯-安德森
2431,David Andersen,戴维-安德森
101187,Alan Anderson,阿尔阿恩-安德森
76035,Cliff Anderson,克尔伊弗弗-安德森
76036,Daniel Anderson,丹尼尔-安德森
1507,Derek Anderson,德里克-安德森
944,Eric Anderson,埃里克-安德森
246,Greg Anderson,格雷格-安德森
202341,James Anderson,詹姆斯-安德森
76040,Jerome Anderson,杰埃尔奥姆埃-安德森
1626147,Justin Anderson,贾斯廷-安德森
72,Kenny Anderson,肯尼-安德森
203937,Kyle Anderson,凯尔-安德森
76043,Mitchell Anderson,米切尔-安德森
98,Nick Anderson,尼克-安德森
76045,Richard Anderson,尔伊奇德-安德森
76046,Ron Anderson,罗恩-安德森
201583,Ryan Anderson,瑞安-安德森
1000,Shandon Anderson,什德奥恩-安德森
335,Willie Anderson,沃伊尔尔伊埃-安德森
1628387,Ike Anigbogu,伊克埃-阿恩伊格布奥格乌
76050,Michael Ansley,迈克尔-阿恩斯利
1512,Chris Anstey,克里斯-阿恩斯特埃伊
203507,Giannis Antetokounmpo,扬尼斯-阿德托昆博
1628961,Kostas Antetokounmpo,科斯塔斯-阿德托昆博
203648,Thanasis Antetokounmpo,萨纳西斯-阿德托昆博
2546,Carmelo Anthony,克阿尔姆埃尔奥-安东尼
1630175,Cole Anthony,科尔-安东尼
21,Greg Anthony,格雷格-安东尼
201202,Joel Anthony,乔尔-安东尼
203544,Pero Antic,普埃尔奥-阿恩特伊克
1628384,OG Anunoby,奥格-阿恩乌恩奥布伊
2737,Rafael Araujo,拉斐尔-阿劳若
76054,Nate Archibald,内特-阿奇博尔德
2425,Robert Archibald,罗伯特-阿奇博尔德
1627853,Ryan Arcidiacono,瑞安-阿尔克伊德伊阿克奥恩奥
76055,Jim Ard,吉姆-德
2240,Gilbert Arenas,吉尔伯特-阿里纳斯
2772,Trevor Ariza,特雷弗-阿里扎
76056,Paul Arizin,保罗-阿尔伊兹伊恩
769,B.J. Armstrong,布.杰.-阿姆斯特朗
2220,Brandon Armstrong,布兰登-阿姆斯特朗
353,Darrell Armstrong,德阿尔尔尔-阿姆斯特朗
200756,Hilton Armstrong,赫伊尔顿-阿姆斯特朗
76060,Paul Armstrong,保罗-阿姆斯特朗
76059,Tate Armstrong,泰特-阿姆斯特朗
76063,Jay Arnette,杰伊-阿尔恩特埃
2306,Carlos Arroyo,卡洛斯-阿尔尔奥伊奥
201589,Darrell Arthur,德阿尔尔尔-阿尔思乌尔
201600,Omer Asik,奥姆埃尔-阿斯伊克
355,Vincent Askew,文森特-阿斯克埃沃
173,Keith Askins,基思-阿斯克伊恩斯
76069,Richard Atha,尔伊奇德-阿思阿
1088,Chucky Atkins,奇乌克伊-阿特克伊恩斯
76070,Alvin Attles,阿尔夫伊恩-阿特特莱斯
278,Stacey Augmon,斯特阿克埃伊-阿乌格蒙
201571,D.J. Augustin,DJ-奥古斯丁
200788,James Augustine,詹姆斯-阿乌格乌斯特伊恩埃
1134,Ike Austin,伊克埃-奥斯汀
1630166,Deni Avdija,德埃恩伊-阿夫德伊杰阿
138,Anthony Avent,安东尼-阿夫埃恩特
76076,William Averitt,威廉-阿夫埃尔伊特特
1895,William Avery,威廉-埃弗里
76078,Dennis Awtrey,丹尼斯-阿沃特雷伊
202970,Gustavo Ayon,格乌斯特阿夫奥-阿伊奥恩
201965,Jeff Ayres,杰夫-阿伊尔埃斯
1629028,Deandre Ayton,德埃德尔埃-阿伊顿
101235,Kelenna Azubuike,克埃伦恩阿-阿祖布克
1628962,Udoka Azubuike,乌多卡-阿祖布克
202337,Luke Babbitt,卢克-布阿布布伊特特
76079,Milos Babic,姆伊尔奥斯-布阿布伊克
1628407,Dwayne Bacon,德韦恩-布阿克奥恩
76081,Jim Baechtold,吉姆-布阿埃奇特奥尔德
2053,Dalibor Bagaric,德阿尔伊布奥尔-布阿格阿尔伊克
76082,John Bagley,约翰-布阿格利
1628963,Marvin Bagley III,马文-布阿格利 伊伊伊
76083,Gus Bailey,格斯-布阿伊利
76085,James Bailey,詹姆斯-布阿伊利
1847,Thurl Bailey,瑟尔-布阿伊利
1753,Toby Bailey,特奥布伊-布阿伊利
203946,Cameron Bairstow,卡梅伦-布阿伊尔斯特奥沃
2486,Maurice Baker,莫里斯-布阿克埃尔
1627758,Ron Baker,罗恩-布阿克埃尔
452,Vin Baker,夫伊恩-布阿克埃尔
1627735,Wade Baldwin IV,韦德-布阿尔德沃伊恩 伊夫
1631116,Patrick Baldwin Jr.,帕特里克-布阿尔德沃伊恩 杰尔.
200764,Renaldo Balkman,尔埃恩阿尔德奥-布阿尔克曼
1630163,LaMelo Ball,拉梅洛-布阿尔尔
1628366,Lonzo Ball,朗佐-布阿尔尔
76091,Greg Ballard,格雷格-布阿拉尔德
1628964,Mo Bamba,姆奥-布阿姆布阿
1631094,Paolo Banchero,普阿奥尔奥-布阿恩奇埃尔奥
1630217,Desmond Bane,戴斯蒙德-布阿恩埃
76093,Gene Banks,格埃恩埃-布阿恩克斯
2556,Marcus Banks,马库斯-布阿恩克斯
76094,Ken Bannister,肯-布阿恩恩伊斯特
76095,Mike Bantom,迈克-布阿恩特奥姆
1630625,Dalano Banton,德阿尔阿恩奥-布阿恩顿
2571,Leandro Barbosa,莱昂德罗-布阿尔布奥斯阿
76097,Stephen Bardo,斯蒂芬-布德奥
200826,J.J. Barea,JJ-巴里亚
200745,Andrea Bargnani,德尔埃阿-布阿尔格恩阿恩伊
76099,Tom Barker,汤姆-布阿尔克埃尔
787,Charles Barkley,查尔斯-布阿尔克利
2057,Erick Barkley,埃尔克-布阿尔克利
76102,Don Barksdale,唐-布阿尔克斯德阿尔埃
1631230,Dominick Barlow,德奥姆伊恩克-布阿尔尔奥沃
203084,Harrison Barnes,哈里森-巴恩斯
76105,Jim Barnes,吉姆-巴恩斯
76104,Marvin Barnes,马文-巴恩斯
2440,Matt Barnes,马特-巴恩斯
1630567,Scottie Barnes,斯科蒂-巴恩斯
76107,Dick Barnett,迪克-巴尼特
76106,Jim Barnett,吉姆-巴尼特
76108,John Barnhill,约翰-布阿尔恩赫伊尔尔
76110,Leo Barnhorst,尔埃奥-布阿尔恩赫奥尔斯特
2857,Andre Barrett,安德烈-巴雷特
76114,Ernie Barrett,埃尔恩伊埃-巴雷特
1629628,RJ Barrett,RJ-巴雷特
2853,Earl Barron,厄尔-布阿尔尔奥恩
344,Dana Barros,德阿恩阿-布阿尔尔奥斯
699,Brent Barry,布尔埃恩特-巴里
1003,Drew Barry,德鲁-巴里
468,Jon Barry,乔恩-巴里
600013,Rick Barry,里克-巴里
76117,Ed Bartels,埃德-布阿尔特埃尔斯
203115,Will Barton,威尔-巴顿
101138,Brandon Bass,布兰登-巴斯
76120,Tim Bassett,蒂姆-布阿斯特特
1629646,Charles Bassey,查尔斯-布阿斯伊
1766,Maceo Baston,姆阿克埃奥-布阿斯顿
2370,Mengke Bateer,姆埃恩克埃-布阿特埃埃尔
76121,Billyray Bates,布伊尔尔伊尔阿伊-布阿特埃斯
1641734,Emoni Bates,埃蒙伊-布阿特埃斯
1628966,Keita Bates-Diop,凯塔-布阿特埃斯-德伊奥普
101212,Esteban Batista,埃斯特埃布阿恩-布阿特伊斯特阿
1499,Tony Battie,托尼-巴蒂
2203,Shane Battier,肖恩-巴蒂尔
1642419,Jamison Battle,杰阿姆伊森-布阿特特尔埃
174,John Battle,约翰-布阿特特尔埃
76123,Kenny Battle,肯尼-布阿特特尔埃
76124,Dave Batton,戴夫-布阿特顿
201587,Nicolas Batum,尼古拉斯-巴图姆
76125,Johnny Baum,约翰尼-布阿乌姆
2437,Lonny Baxter,尔奥恩恩伊-布阿克斯特
